start	siteId	gr	ad	browser	sessions	conversions	transactions	revenues
2016-05-31 17:00	2	1	-3	IE	1	0	0	0
2016-05-31 17:00	2	1	1	Chrome	22	1	2	153.94
2016-05-31 17:00	2	1	1	FireFox	3	0	0	0
2016-05-31 17:00	2	1	1	IE	16	2	8	463.1
2016-05-31 17:00	2	1	1	NA	1	0	0	0
2016-05-31 17:00	2	1	1	Safari	5	1	18	1028.59
2016-05-31 17:00	2	1	2	Chrome	20	2	9	448.7
2016-05-31 17:00	2	1	2	FireFox	1	0	0	0
2016-05-31 17:00	2	1	2	IE	16	3	20	1038.73
2016-05-31 17:00	2	1	2	Safari	1	0	0	0
2016-05-31 17:00	2	1	2	Unknown	1	0	0	0
2016-05-31 17:00	2	1	3	Chrome	14	1	3	121.05
2016-05-31 17:00	2	1	3	FireFox	2	0	0	0
2016-05-31 17:00	2	1	3	IE	24	2	7	376.91
2016-05-31 17:00	2	1	3	Safari	1	0	0	0
2016-05-31 17:00	2	2	-1	Chrome	15	0	0	0
2016-05-31 17:00	2	2	-1	FireFox	1	0	0	0
2016-05-31 17:00	2	2	-1	IE	14	3	29	1329.75
2016-05-31 17:00	2	2	-1	Safari	1	0	0	0
2016-05-31 17:00	2	2	-1	Unknown	3	1	8	430.6
2016-05-31 17:00	3	1	-1	Chrome	1	0	0	0
2016-05-31 17:00	3	1	-1	IE	1	0	0	0
2016-05-31 17:00	3	1	-3	Chrome	2	1	1	38.39
2016-05-31 17:00	3	1	-3	IE	3	0	0	0
2016-05-31 17:00	3	1	1	Chrome	60	2	8	421.84
2016-05-31 17:00	3	1	1	FireFox	15	1	8	460.94
2016-05-31 17:00	3	1	1	IE	70	3	22	972.33
2016-05-31 17:00	3	1	1	NA	1	0	0	0
2016-05-31 17:00	3	1	1	Safari	10	0	0	0
2016-05-31 17:00	3	1	2	Chrome	48	1	6	384.39
2016-05-31 17:00	3	1	2	FireFox	9	1	12	672.35
2016-05-31 17:00	3	1	2	IE	70	1	10	504.75
2016-05-31 17:00	3	1	2	NA	2	0	0	0
2016-05-31 17:00	3	1	2	Safari	4	0	0	0
2016-05-31 17:00	3	1	2	Unknown	1	0	0	0
2016-05-31 17:00	3	1	3	Chrome	43	1	1	73.22
2016-05-31 17:00	3	1	3	FireFox	4	0	0	0
2016-05-31 17:00	3	1	3	IE	60	2	15	704.45
2016-05-31 17:00	3	1	3	NA	4	0	0	0
2016-05-31 17:00	3	1	3	Safari	10	0	0	0
2016-05-31 17:00	3	2	-1	Chrome	58	3	17	766.47
2016-05-31 17:00	3	2	-1	FireFox	10	0	0	0
2016-05-31 17:00	3	2	-1	IE	55	2	21	957.54
2016-05-31 17:00	3	2	-1	Safari	14	0	0	0
2016-05-31 17:00	3	2	-1	Unknown	3	0	0	0
2016-05-31 17:00	3	2	-3	Chrome	1	0	0	0
2016-05-31 17:00	3	2	-3	IE	1	0	0	0
2016-05-31 17:00	3	2	3	Chrome	1	0	0	0
