siteId	ad	mean1	sd1	mean2	sd2	mean3	sd3	mean4	sd4
1	-1	0.53108521403593	0.2952511567188	54.4	27.7	8.39040485445289	2.28388078237515	4.23820185867196	1.0680302103044
1	1	0.93946127514776	0.63570699788468	46.3	30.1	7.54890709029293	2.68339548869463	5.14866341388782	1.61650909243284
1	2	0.89532880381988	0.55298384111648	55.5	24.9	8.29960332122707	1.93733300219124	5.19797303595619	1.50795494742066
1	3	0.73271794397756	0.5979186999391	56.2	30.3	8.25322334436619	2.63770105053953	4.68907399579049	1.53764637701861
2	-1	0.50655359605857	0.28826371874793	50.3	28.5	7.93133390792641	2.4612581860884	4.09456693776453	1.04048486519652
2	1	0.91175458252322	0.67798298933752	49.9	28.9	7.88856422506124	2.46306223105438	5.08359139085031	1.72282969104012
2	2	0.91572765684346	0.66986530889628	50	28.8	7.91939652650037	2.46331993473559	5.10403398724952	1.71012226291513
2	3	0.93010712375834	0.69712273020415	50	28.9	7.90975578388729	2.45999475553882	5.12321872957587	1.7591626981871
3	-1	0.50157767861786	0.28734842613386	50.1	28.8	7.9196664509193	2.45962425632224	4.07845887334026	1.03847583181784
3	1	0.91211402644658	0.67692702459125	49.6	28.9	7.88579563713351	2.47256936622353	5.08393355249045	1.72712273015551
3	2	0.9088705908606	0.67975084764662	49.9	28.8	7.91799563875684	2.45940335313666	5.07839614216565	1.73216905529748
3	3	0.91119206715203	0.6800681177275	49.9	28.9	7.89672736614583	2.47709262952892	5.0819408138895	1.72679131838123
4	-1	0.49359318584263	0.28882158797944	49.4	29	7.83901441432442	2.47093024114906	4.04004833818754	1.04716042843287
4	1	0.90359496895848	0.67701782754838	49.8	28.9	7.91299903212226	2.45852043019826	5.06049573432419	1.74983088225678
4	2	0.93383194491597	0.69155739498076	49.7	28.8	7.88111181314402	2.45254479575391	5.1390985783822	1.73265197651327
4	3	0.93219800423827	0.68605775005734	50.2	28.8	7.92418605114335	2.42274654992654	5.13950427415224	1.73968482576962
